iter	Logloss
0	0.6837518834
1	0.6718581194
2	0.662137207
3	0.6514312919
4	0.6430869141
5	0.6334155971
6	0.6261549944
7	0.619612514
8	0.608617048
9	0.602183524
10	0.5950404576
11	0.5886953125
12	0.5821986258
13	0.5772351074
14	0.5714880371
15	0.5654257812
16	0.559586635
17	0.5552242606
18	0.5499842704
19	0.5447009626
20	0.5405479911
21	0.5351390904
22	0.5282829241
23	0.5222422224
24	0.518004255
25	0.5142329799
26	0.5097902483
27	0.506177002
28	0.5030528739
29	0.4986214425
30	0.4956678641
31	0.4927631487
32	0.490761091
33	0.4875973772
34	0.4848611189
35	0.4810748465
36	0.4793195452
37	0.476925851
38	0.475727853
39	0.4738257882
40	0.472218471
41	0.4700974121
42	0.4682336426
43	0.4666217913
44	0.4649227121
45	0.463609933
46	0.4623891602
47	0.4612627651
48	0.4595513044
49	0.4579935128
50	0.4569211077
51	0.4557669852
52	0.4543342634
53	0.4530595006
54	0.4520429687
55	0.4510059989
56	0.4498048968
57	0.4490070452
58	0.4476228376
59	0.4468071289
60	0.4459360352
61	0.4449948382
62	0.4428669782
63	0.4421397182
64	0.4410749163
65	0.440144601
66	0.4385244141
67	0.4380211356
68	0.436785784
69	0.435714495
70	0.4346649693
71	0.4337209821
72	0.4325271345
73	0.4318793248
74	0.4307411761
75	0.4301525181
76	0.4294598912
77	0.428767892
78	0.4284112026
79	0.4276717006
80	0.4272519182
81	0.4265939593
82	0.4260173689
83	0.4256314174
84	0.4252700195
85	0.4246984863
86	0.423834368
87	0.4233120117
88	0.4227686942
89	0.4221780134
90	0.4216784319
91	0.42136363
92	0.4208557478
93	0.4204589146
94	0.4202763323
95	0.4198030134
96	0.419250279
97	0.4187924805
98	0.4184637277
99	0.4180251465
100	0.4175447126
101	0.4170145787
102	0.4165387137
103	0.4160092076
104	0.4157019392
105	0.4152957938
106	0.4149337681
107	0.4146199777
108	0.4141231864
109	0.4139946289
110	0.4135898089
111	0.4131892439
112	0.4128056641
113	0.4123425642
114	0.4118541434
115	0.4115403878
116	0.4112103097
117	0.4108506208
118	0.4103740234
119	0.409914202
120	0.4094782017
121	0.4091758859
122	0.4089236886
123	0.4085416783
124	0.4080943429
125	0.4077728446
126	0.4075939941
127	0.4070313198
128	0.4067682757
129	0.4064736328
130	0.4061685268
131	0.40580399
132	0.4055287388
133	0.4051428571
134	0.4047239118
135	0.4044048549
136	0.4040235421
137	0.4037723214
138	0.403582659
139	0.403261091
140	0.4029092843
141	0.4025691267
142	0.4024639021
143	0.4020959124
144	0.4018882533
145	0.4015483747
146	0.4012164481
147	0.4008955078
148	0.4006684222
149	0.4004358259
150	0.4000511998
151	0.3997382115
152	0.3994626116
153	0.3991691546
154	0.3988367746
155	0.3984857003
156	0.3980449219
157	0.3977832729
158	0.3975190081
159	0.3972753906
160	0.3969599609
161	0.396656529
162	0.3963085589
163	0.3960658831
164	0.3957446987
165	0.3954383371
166	0.3951888951
167	0.3948842425
168	0.3946234654
169	0.3943198242
170	0.394113909
171	0.3938109654
172	0.3934467076
173	0.3931707589
174	0.392855399
175	0.3926063756
176	0.3923279157
177	0.39208524
178	0.3917946777
179	0.3914859794
180	0.3912566267
181	0.3910183105
182	0.3907975725
183	0.3906225237
184	0.3904257115
185	0.3901481585
186	0.3898410993
187	0.389603969
188	0.3893114537
189	0.3890961217
190	0.3889162946
191	0.3887194475
192	0.3884983608
193	0.3882587542
194	0.3880587681
195	0.3877614397
196	0.387464216
197	0.3872049037
198	0.3869787946
199	0.3867720075
200	0.3865746373
201	0.386291748
202	0.3860834612
203	0.3858433315
204	0.3856155483
205	0.3853699428
206	0.3850668597
207	0.3848636649
208	0.3845998186
209	0.384331543
210	0.3841214774
211	0.3838915318
212	0.3836563198
213	0.3834198521
214	0.3831771763
215	0.3829142369
216	0.3827111468
217	0.3826674805
218	0.3825320871
219	0.3823489816
220	0.3821150949
221	0.3820830776
222	0.381809082
223	0.3815699986
224	0.3814244559
225	0.3810947266
226	0.3810516881
227	0.3808158831
228	0.3804970703
229	0.3803401228
230	0.3800521763
231	0.3797753209
232	0.3796264648
233	0.3794594029
234	0.3791967076
235	0.3790054408
236	0.3786298828
237	0.3784349191
238	0.3782276088
239	0.377886091
240	0.3776927316
241	0.3775433524
242	0.3773314035
243	0.37712643
244	0.3769333147
245	0.3766510184
246	0.3763771973
247	0.3763530273
248	0.3761437988
249	0.3759861189
250	0.3757357003
251	0.3754891183
252	0.3752404785
253	0.3750040806
254	0.3747511858
255	0.3745861816
256	0.374368478
257	0.374099993
258	0.3738365653
259	0.3736086775
260	0.3734135045
261	0.3732108677
262	0.3730207868
263	0.3727589634
264	0.3724633789
265	0.3722613002
266	0.3721124791
267	0.3718695243
268	0.371697161
269	0.3713998326
270	0.3712469657
271	0.3710071847
272	0.3707990723
273	0.3706042132
274	0.3704115862
275	0.3701657366
276	0.3699558105
277	0.3697510812
278	0.3695259835
279	0.3693201032
280	0.3691428571
281	0.3689934431
282	0.3687027414
283	0.368513358
284	0.3682996303
285	0.3681797573
286	0.3679441964
287	0.3678107213
288	0.3675728585
289	0.367309082
290	0.3670567801
291	0.3668562012
292	0.3666715262
293	0.366402553
294	0.3660804967
295	0.3658813128
296	0.3656386719
297	0.3654503348
298	0.3652498605
299	0.3650973075
300	0.3649131557
301	0.364699707
302	0.3644571708
303	0.3642521624
304	0.3640304827
305	0.3638429478
306	0.3635838797
307	0.3632940151
308	0.3630841239
309	0.3628863002
310	0.3627439314
311	0.3624802944
312	0.3622015555
313	0.3619554618
314	0.3617615444
315	0.3616018415
316	0.3612858189
317	0.361046317
318	0.3610109515
319	0.3608148717
320	0.360628418
321	0.3604073312
322	0.3602098912
323	0.3599815499
324	0.3597654506
325	0.3595352958
326	0.3594150391
327	0.3591782924
328	0.358875
329	0.3586840123
330	0.3586354632
331	0.3584113421
332	0.3581183036
333	0.3579162946
334	0.3577651367
335	0.3575215541
336	0.3573825335
337	0.3572007882
338	0.3569485561
339	0.3567952706
340	0.3565846122
341	0.3564093192
342	0.3562825405
343	0.356058524
344	0.355874442
345	0.3555929129
346	0.3553498186
347	0.3551480539
348	0.3548666295
349	0.3546858259
350	0.3545220424
351	0.3543018624
352	0.3541226981
353	0.3539072963
354	0.353613351
355	0.3533724191
356	0.3532347935
357	0.3529564035
358	0.3527794364
359	0.3525507115
360	0.3523463309
361	0.3521787109
362	0.3519972796
363	0.3518385184
364	0.3515532227
365	0.3513484235
366	0.3510683245
367	0.3508839286
368	0.3506345215
369	0.350400007
370	0.3502280273
371	0.3499363839
372	0.3497394322
373	0.349527553
374	0.3493018276
375	0.3490661272
376	0.3489238979
377	0.3487562779
378	0.3486357073
379	0.3484150739
380	0.3482157854
381	0.3480031041
382	0.3478098842
383	0.3475486189
384	0.3473880441
385	0.347167341
386	0.3469906529
387	0.3467541155
388	0.3464876535
389	0.3462533133
390	0.3460062779
391	0.3458349609
392	0.3456320452
393	0.3455237165
394	0.3453537249
395	0.345094029
396	0.3448770578
397	0.3446779785
398	0.3444112723
399	0.3443013393
400	0.34414774
401	0.3439395926
402	0.3436259766
403	0.343505127
404	0.3433692104
405	0.3431949986
406	0.3429938616
407	0.342796317
408	0.3427158901
409	0.3425551758
410	0.3424211077
411	0.3422640555
412	0.3420811942
413	0.3420202985
414	0.3417730539
415	0.3415975865
416	0.3413386579
417	0.3411005511
418	0.3410063825
419	0.3407897949
420	0.340681815
421	0.3404349191
422	0.3402809012
423	0.3402108677
424	0.3398997977
425	0.3396706543
