iter	Passed	Remaining
422	1996	2722
423	2002	2720
424	2005	2713
425	2008	2706
426	2012	2701
427	2019	2699
428	2023	2693
429	2026	2686
430	2032	2683
431	2036	2678
432	2040	2671
433	2043	2665
434	2049	2661
435	2052	2655
436	2056	2649
437	2059	2642
438	2063	2636
439	2066	2629
440	2069	2623
441	2072	2616
442	2075	2610
443	2080	2604
444	2085	2600
445	2088	2594
446	2092	2588
447	2097	2583
448	2100	2578
449	2104	2571
450	2107	2565
451	2111	2560
452	2116	2555
453	2119	2549
454	2123	2543
455	2128	2538
456	2133	2534
457	2148	2543
458	2152	2537
459	2158	2534
460	2164	2530
461	2168	2524
462	2172	2519
463	2179	2517
464	2183	2511
465	2186	2505
466	2190	2499
467	2195	2495
468	2198	2489
469	2201	2482
470	2205	2476
471	2210	2473
472	2214	2467
473	2217	2460
474	2221	2454
475	2226	2450
476	2230	2445
477	2233	2439
478	2237	2433
479	2242	2429
480	2245	2422
481	2248	2416
482	2252	2410
483	2256	2406
484	2261	2401
485	2264	2395
486	2267	2388
487	2272	2383
488	2276	2378
489	2279	2372
490	2283	2366
491	2287	2361
492	2292	2357
493	2295	2351
494	2298	2345
495	2303	2340
496	2307	2334
497	2311	2329
498	2314	2323
499	2318	2318
500	2322	2313
501	2326	2307
502	2329	2301
503	2334	2297
504	2338	2292
505	2342	2286
506	2347	2282
507	2352	2278
508	2355	2272
509	2359	2266
510	2363	2261
511	2368	2257
512	2373	2253
513	2376	2247
514	2382	2243
515	2386	2238
516	2389	2232
517	2392	2226
518	2397	2222
519	2401	2216
520	2404	2210
521	2408	2205
522	2414	2202
523	2418	2197
524	2422	2191
525	2425	2185
526	2431	2182
527	2435	2176
528	2438	2171
529	2441	2165
530	2446	2161
531	2450	2155
532	2453	2150
533	2457	2144
534	2464	2141
535	2467	2136
536	2471	2130
537	2475	2125
538	2479	2120
539	2482	2114
540	2485	2109
541	2490	2104
542	2495	2100
543	2498	2094
544	2501	2088
545	2505	2083
546	2510	2079
547	2513	2073
548	2516	2067
549	2520	2062
550	2524	2057
551	2528	2052
552	2532	2046
553	2535	2041
554	2540	2036
555	2544	2031
556	2547	2026
557	2550	2020
558	2554	2015
559	2559	2010
560	2562	2005
561	2566	2000
562	2570	1995
563	2574	1990
564	2578	1984
565	2581	1979
566	2584	1974
567	2590	1969
568	2593	1964
569	2596	1958
570	2600	1953
571	2605	1949
572	2608	1944
573	2612	1938
574	2616	1933
575	2621	1930
576	2625	1924
577	2628	1919
578	2632	1914
579	2637	1910
580	2641	1904
581	2644	1899
582	2648	1894
583	2653	1890
584	2656	1884
585	2660	1879
586	2664	1874
587	2670	1870
588	2673	1865
589	2677	1860
590	2681	1855
591	2686	1851
592	2689	1845
593	2692	1840
594	2696	1835
595	2701	1831
596	2704	1825
597	2708	1820
598	2711	1815
599	2717	1811
600	2720	1806
601	2723	1800
602	2727	1795
603	2741	1797
604	2746	1793
605	2751	1789
606	2755	1783
607	2758	1778
608	2762	1773
609	2766	1768
610	2770	1763
611	2773	1758
612	2777	1753
613	2781	1748
614	2785	1743
615	2788	1738
616	2791	1732
617	2797	1728
618	2800	1723
619	2803	1718
620	2806	1713
621	2811	1708
622	2815	1703
623	2818	1698
624	2821	1693
625	2826	1688
626	2830	1683
627	2833	1678
628	2836	1673
629	2841	1668
630	2845	1664
631	2848	1658
632	2852	1653
633	2857	1649
634	2861	1644
635	2864	1639
636	2868	1634
637	2873	1630
638	2876	1625
639	2880	1620
640	2884	1615
641	2889	1611
642	2892	1606
643	2896	1601
644	2899	1596
645	2904	1591
646	2908	1586
647	2911	1581
648	2915	1576
649	2921	1572
650	2925	1568
651	2928	1563
652	2931	1558
653	2936	1553
654	2940	1548
655	2943	1543
656	2947	1538
657	2951	1534
658	2955	1529
659	2959	1524
660	2962	1519
661	2966	1514
662	2971	1510
663	2974	1505
664	2977	1500
665	2981	1495
666	2986	1491
667	2989	1486
668	2993	1480
669	2996	1476
670	3002	1472
671	3005	1467
672	3008	1461
673	3012	1456
674	3016	1452
675	3020	1447
676	3023	1442
677	3026	1437
678	3032	1433
679	3035	1428
680	3038	1423
681	3042	1418
682	3046	1414
683	3050	1409
684	3053	1404
685	3057	1399
686	3061	1394
687	3065	1390
688	3069	1385
689	3072	1380
690	3076	1375
691	3081	1371
692	3084	1366
693	3087	1361
694	3091	1356
695	3096	1352
696	3099	1347
697	3103	1342
698	3106	1337
699	3111	1333
700	3115	1328
701	3118	1323
702	3122	1318
703	3126	1314
704	3131	1310
705	3134	1305
706	3137	1300
707	3143	1296
708	3147	1291
709	3150	1286
710	3153	1281
711	3158	1277
712	3163	1273
713	3166	1268
714	3171	1263
715	3177	1260
716	3180	1255
